id,name,num followers,num tweets,type
791617959760322560,riley_judd,320,770,expert
439639140,JonathanMishory,615,9668,expert
2713040959,BeirutMugharid,83,4612,layman
966902460726915072,NickMormino1,12,6,layman
720985407605862401,MillbrookPharm,403,1789,expert
957436874666201088,UTRGVPOLS,218,130,expert
713394872720498688,WashULRev,278,174,expert
845398760360357889,RMM038,240,259,expert
707714928,elizabethaeddy,91,90,layman
18829376,gebby1984,761,8313,expert
2257513082,mhseo88,125,10,expert
13526822,Julie_Flory,1307,8209,celebrity
769000210265698305,klier_teresa,0,0,layman
27793819,SamKleinOnline,142,2222,expert
59770737,ciudadana_erika,665,7330,expert
903686634604040192,WUSTL_InfoSec,34,117,layman
458962565,C_Wolbrecht,13373,16658,celebrity
1041764119,_faisalkamal,398,738,expert
234928594,ScottFAbramson,398,201,expert
289951747,WashUAdmissions,786,1060,expert
84653850,BrendanNyhan,73128,77721,celebrity
427699416,ConnorMEwing,1195,1309,celebrity
408131794,michael_p_olson,372,2921,expert
166338025,psuareziskihata,223,1153,expert
918530023245664261,aaronjgold2,272,143,expert
242522899,sengulyldz,180,747,expert
370474938,dalston_gawain,84,588,layman
46418313,MattC15,187,2932,expert
254752429,JasonWRoland,1289,8427,celebrity
47718880,Stratton_Jill,925,1750,expert
4196481215,srmonteirojr,513,4536,expert
102432474,ben_fifield,563,124,expert
3246792784,NewEnglandPSA,991,1124,expert
3214181795,hedwig_lee,2603,8132,celebrity
892790857048489984,wufrank200,102,312,expert
828862479396642817,LLingo_admin,26,1,layman
816426170493366276,PatrickRickert,163,1083,expert
3681168136,BMcCSJ,958,3542,expert
2192651251,nocmgr,149,940,expert
4267929196,WashUWellness,79,66,layman
481672499,JM_Sievert,2141,9672,celebrity
46261430,cmhinderliter,2715,15516,celebrity
98490748,STLRegChamber,13836,8410,celebrity
848244367034904585,faze_uso,1,31,layman
710077981813825537,SKappHastings,13,6,layman
566889631,azwolk,227,1242,expert
164546388,BetulD_,52,8,layman
75118960,JulioTellez,1209,7365,celebrity
803671726215360513,AdmissionDeanWU,302,474,expert
2770276477,eiri75,38,2107,layman
1648650871,LilyJake11,77,284,layman
3321939708,WashUGHW,83,53,layman
3365960592,CaitlynMCollins,3288,3016,celebrity
2870016825,AmanPatil17,42,38,layman
861996997,ITAPCWE,3563,1631,celebrity
2802076729,StLouisMOBiz,174,6,expert
15782087,WUSTLcareers,3782,2275,celebrity
2354486829,sumpunta,402,7991,expert
19596053,Peacock1,480,2613,expert
1290245184,wasserjo,37,47,layman
3206943477,JacekBursztyn,402,28001,expert
790636114260307968,parallelchords,350,277,expert
2373224725,StineDeborah,37,65,layman
788467373934309381,wustlsoc,235,405,expert
256325258,pjfj4,12,337,layman
3161246856,WUSTLKat,31,65,layman
458692188,ProfKrassa,85,954,layman
54280376,matthewhitt,1688,1582,celebrity
3462304039,jbshore14,344,4103,expert
2834461779,JonasMarkgraf,268,164,expert
20830220,washu_su,1840,1390,celebrity
151900128,din_inter,728,1254,expert
426364268,noa_yadidi,324,901,expert
866681611,lexojackso,761,19408,expert
1515251383,zvincent9,175,271,expert
858340297,tunderia,8,26,layman
762798888189169664,WASHUwSoccer,631,601,expert
87112954,xhonorarywustl,24,65,layman
762522566208532480,ProfDeadwood,1,1,layman
758733660065456131,chad_schwam,10,0,layman
1096834196,BarStLouisMo,3032,3485,celebrity
167867852,FozziesSandwich,1210,1289,celebrity
94346957,wustlsts,472,551,expert
4921547105,JacobLevitan,9,6,layman
753248135997194240,wuNetArchitect,57,86,layman
589387005,myrablopez,518,1575,expert
3342240045,JaredDauman,10,0,layman
182776102,PoliticsUVA,2068,2248,celebrity
263479789,gregjwhitfield,242,924,expert
729046271051202560,keeporthestars,196,2169,expert
4786807754,sherenpen,22,8,layman
18273988,moritzmarbach,406,9,expert
3129927357,mm_bechtel,270,63,expert
736200843989557248,OpticalRadLab,205,234,expert
4475525654,KongXiangchuan,3,1,layman
1967312552,KCannon_777,419,414,expert
2778723674,carry_my_lyn,5,3,layman
19405351,WashUengineers,4912,7351,celebrity
594157455,WISHHousing,755,3720,expert
4871448701,J_LawPolitics,415,380,expert
2955659069,jmtheology,214,1450,expert
2731022486,EHSgifted,152,294,expert
703330396403007489,TMNTBackpackKid,8,1,layman
2612797260,matt_devoll,195,654,expert
3150600104,yk344_kwon,595,4504,expert
42494684,kevinlevart,303,356,expert
2291384989,INCEESWUSTL,418,2533,expert
3297833260,fullstoppberlin,745,860,expert
23447063,mrjoefrank,1162,1505,celebrity
11353142,red_zephrin,41,213,layman
1151420900,PSANational,1369,1445,celebrity
108316522,generallybryn,414,2452,expert
3735747258,DdfaKdoaoer,12,6,layman
42955564,WUSTLGephardt,1228,1507,celebrity
25398973,debbiemurphy,625,582,expert
5146581,Fourboysmama,42,124,layman
1979372431,WomensSocietyWU,123,32,expert
29128285,picook,200,209,expert
3406193625,washu4hillary,1756,71,celebrity
3319333686,wuestpr,58,7,layman
174055060,IdkImJustBored,522,103292,expert
17650690,AmyHC,432,1091,expert
2932897695,rlcalv,55,57,layman
2476359896,justinfoxstl,64,0,layman
2239852081,HarrisWorldLaw,250,359,expert
1468214634,BrookingsRC,37,24,layman
25158240,PeterColumCasey,131,766,expert
1360356614,WashULaw,2182,7261,celebrity
2715268627,PoliSciUMN,1757,8801,celebrity
185285111,StLouisPILaw,2411,5505,celebrity
2371334376,CatholicLuisa,218,2740,expert
1944834290,hyebell94,78,2,layman
1704646470,mirandayaver,12830,66164,celebrity
3192411776,WUSTLAnthro,595,936,expert
103956704,ProfJRoberts,1456,4009,celebrity
3034908524,mavrknetworking,33,16,layman
179274430,CoffeeCartelSTL,1455,2865,celebrity
786257126,Steph_Budrus,275,3262,expert
184365715,politconsultant,230,563,expert
2888393596,PSA_APG,1133,516,celebrity
1558597950,RiaHan94,56,196,layman
3038216124,wustlisp,1370,3185,celebrity
1022371699,WashUsummer,514,769,expert
2332084886,WashUOUTLaw,204,214,expert
56245303,OlinWCC,1074,1532,celebrity
467536020,GayleGeren,744,6568,expert
353511354,Scotty_Jacobs,102,90,expert
1064533471,prof_nokken,626,9118,expert
2997261583,WUSTL_CIO,388,794,expert
1250554160,the_noblest,75,54,layman
22196946,sandersems,55,230,layman
38559932,DaniellePaige35,12,15,layman
1480705621,ErinAAmato,85,347,layman
360176378,blumkmasterflex,257,3256,expert
2919729900,setuhro,0,6,layman
2511462254,SarahO_333,6,18,layman
2895964728,OlinCaseComp,5,5,layman
205397000,CtrRelPol,1929,2465,celebrity
597120305,FrankMCorona,59,694,layman
1299857222,keridugan1,31,105,layman
82216564,RelayForLifeWU,583,583,expert
339987214,AEConnolly41,26,276,layman
2853572967,WUSTLDIFFS,22,17,layman
15057383,stephen_huber,286,2465,expert
348846669,JohnCluverius,1757,8629,celebrity
551138610,WUFYC,970,1388,expert
1670688470,Schmiedette,31,269,layman
163573512,ChancellorW,2262,932,celebrity
2567756700,washudems,306,66,expert
46721704,cynhudson,569,1144,expert
386115930,jeremycaddel,62,79,layman
432662240,SamFoxSchool,2351,9808,celebrity
2285368813,ScholarBridge,242,526,expert
277072979,WUSTLoiss,843,770,expert
158994904,WUCS40,185,77,expert
2165983896,pol_economist,412,785,expert
46422258,WUSTLlibraries,1775,4026,celebrity
267400627,ma_me_ga,905,8416,expert
28842145,binici,23,5,layman
777485077,WUSTLEconAC,132,639,expert
377177381,WU_DAC,156,39,expert
1601592757,SJGivensSTL,596,952,expert
1705521072,RasitYT,19,1058,layman
2798656039,avascenturians,157,225,expert
368681101,keithschnak,1259,5766,celebrity
2419705380,Adrienne_WU,3222,1728,celebrity
2550324926,OlinBSBA,417,613,expert
17815224,WUSTL,32775,10361,celebrity
14426806,jwpatty,3186,321,celebrity
382468372,ClarissaHayward,881,6797,expert
25333387,wupad,545,612,expert
45654015,AMCS_WU,467,750,expert
1906707259,WashUTimmy,75,35,layman
2647189844,DOTwustl,53,16,layman
2793044058,WASHUCheer,112,21,expert
2788462441,kennethsng,48,3,layman
2788494738,prof_aburibe,7,23,layman
2734848864,WashU_Habif,441,939,expert
34633479,slso,37303,9789,celebrity
2352355284,WUSTLDC,62,198,layman
29746928,deepfriar,333,22236,expert
7961002,mjnelson7,603,1494,expert
22857061,Jktboston,172,118,expert
2695008333,OutPerformPeers,354,2156,expert
2250261,ajreeves,1382,148,celebrity
2542114879,ironflamingo1,3,2,layman
555588295,Coolicolo,176,1382,expert
1128945624,WUSTLArtSci,2467,7545,celebrity
78950273,caseycrawforddd,171,3003,expert
2391653094,BellevilleMovee,19964,118,celebrity
1667860657,WUSTLpubhealth,2050,4982,celebrity
322673854,JonathanRapkin,4,61,layman
18256748,ProfStevenSmith,2684,38,celebrity
28116356,j_homola,222,61,expert
35866587,emagar,2249,5538,celebrity
700189184,alucardi1,1125,14705,celebrity
129785606,000fukumoto,1952,3368,celebrity
151167947,WUSTLSIS,831,1840,expert
