id,name,num tweets
3330954442,chris__claassen,111
705517762878251010,ineslevin,203
2469971748,lpargyle,68
82879600,Heedi101,541
1161862950090661888,josephd37465549,9
14597912,sergimorales,3732
3072905932,ThomasCOTTINET,19937
780320987510439936,agneshkm,225
2571833844,mentaldaily_com,166
1004826108716601344,DrKeishaRay,560
2723963928,eredmil1,8142
2307765906,akoustov,303
129026706,ronpatz,45213
3313903110,DrAnnikaWerner,599
575400382,EthanBusby,187
1848492836,WhyWeArgue,1221
1114930947361792000,OverdoingD,525
67315825,esydnor,1499
1587665659,NKSchueller,13960
509776809,MaryAPainter,2385
602721749,jennifernvictor,16222
871530496446091265,BottingHunt,1027
1106974246218186752,WajnerD,93
857279231000293376,asgianchi,0
960276734556880896,MargaretAHayde4,2
924154166183837696,jk_wagner,15
2337025579,GarciaBedolla,560
382468372,ClarissaHayward,6797
1154406333829066752,Johnson67354526,0
252547253,pedrocapra,217
1153060898841464832,DavisRi28069519,0
3233823741,karo_urb,3239
2877507938,LC_Sanford,340
952853154776993792,RahelSuess,72
48598113,mollyscudder,199
4579448805,socpsyghent,300
1012197483479330816,CESSIndia,46
271231629,awiezel,6
1968778134,stevenwwebster,372
45790882,LenaMasch,195
755823844842143744,michellestwali,266
533046399,AinoLilja,1134
1649241619,firstpersonpol,7043
720187074352193537,zacdgreene,454
1117771726186864641,DinisYilmaz,16
226291524,MauritsMeijers,601
364521572,Pau_Vall,2265
1142191135575674883,_AckermannK,24
1141394382798512130,franklo61031298,18
1009010808498638848,lara_schreurs,4
595726588,BeydaCineli,22
1129211113520979969,Martins_Junior0,5
1121832701827395584,yvesdeboeck1,585
804687652658221056,orioljbosch,2908
1139452191209598976,sbib_kuleuven,5
600106857,1952Dilip,349
963630715299598337,epovb,67
1242240618,RIBernhard,861
254158797,iacocoba,17180
38557097,A_Behaviorist,1113
186499843,lisannewichgers,2226
3000398771,SharonBaute,21
1255114202,AbelardoGD,820
1084732873670828032,tonirodon,310
292507138,wmjunk,132
174211198,just_in_mccaul,1776
566487521,PernelleL,95
574843665,EPO_lse,2580
2791828691,KarolinaZby,5441
4882273461,olga_chyzh,2230
1024931755374112769,ChanKaMing15,54
1048686899144138753,HendrikJacobVi1,15
743085347240828930,SvenjaAhlhaus,99
392737670,MaryChayko,10702
1130427436989059073,LarrySchar,0
2977585335,jaredamcdonald,381
251904281,hwessler,352
29444535,RAdeGeus,503
1128206529277169666,Steven3522516,3
793193016576147456,Ilkmade_Pol,3945
23485548,hollyke,34
21514354,paddster,648
133385126,PJDunleavy,56361
568238232,EloFabre,7753
549463264,Daniel_Kyne,5060
256631718,EllieGadjanova,3044
781546644902973440,semrasevi,42
1630849633,AsnPLS,1175
423282678,robert_a_blair,1725
792454359833608193,p_beramendi,4834
958139206169018368,MYODemocracy,364
1110986681522491394,nxtgenusa,107
1091055927896272897,NotTheMikeCole,32
1082972378697818112,popeurope,173
19995629,jdbk,1457
231959424,hermansm,1487
1113467997253926912,JamesKursun,4
332333541,eganuza,254
934192992,PetraGuasti,6497
2458066446,AlexPatrioteGPI,64695
1109224839468990464,RowlandRichard7,668
1116360377439260672,joserod83454802,259
113197370,Danycba15,4598
982455742962774018,shanegleasonPhD,681
779654863005376512,r_dassonneville,663
1524879570,melissabaker712,4193
23721445,MikeGruz,17850
65752504,wjkno1,16671
3270652309,__deej___,506
123883121,EsmeraldaVBon,273
730898804,__vgold__,80
1107170449732059136,bernardjude100,48
2550292273,pietwostyn,2959
569269326,JeffersonCtr,1367
2712752569,samuel_rhodes,75
1111611987337846784,Franois32188763,7
2862255635,WietseVR,1523
144567313,tylerburleigh,1038
3340973451,DecideMadrid,8464
388137441,ElisabethSchimp,205
2834461779,JonasMarkgraf,164
139629969,newdemocracyAUS,1451
321098699,RyanKennedy7,219
988616438,jonas_lefevere,40
571833112,LoicBlondiaux,2405
34637226,mascakir,4356
1107300267102478336,GHSvanDijk,19
46095097,landemore,1186
3041808777,malcolmfair,335
787388190,M_B_Petersen,2275
620402091,amandajofriesen,2412
627577181,rubiksplanet,1874
951765794156957696,DigDemLab,1822
831803085404008448,MendoncaRF,86
575682501,sofiabrei,370
1099583349956464640,Santos79285027,212
1098191336468041729,StyufV,21
859099034178510849,matthew_fails,156
61603,daveamp,4269
1103442530589388802,David_Olegunar,70
1055679372,csestweets,398
44757452,NivekKThompson,817
1103205115052392448,Jeffrey98479860,6
254164475,marina_popescu,50
1047793158162186240,adeligiaouri,197
175335012,chefanieeee,3162
1091805235272736768,marcozmike,2
77956429,janisaac,11
21787305,PoliSciJack,3831
992226199974940674,frfeitosa,31
1003646026165706752,Mreowris,160
23437910,catoleonard,3506
1116544340,Arildohr,456
324566143,MarianCramers,2238
65174791,TimJHughes,11388
256527760,kiernanmargaret,3049
49360840,GarciaHdezAna,775
994597724266823680,RaphaelPouye,67
148873455,DrDaveMckenna,14238
450531653,joi_pranzl,624
1323058616,Fulwellender73,896
216350403,thomfrissen,1258
1449142848,LianaEustacia,869
3044834795,EUinterest,1116
789855112122466304,czogmaister,826
1082625981188374528,demoinno,247
983770078293479425,DrMackIT,368
925309967376244737,Cal_Le_Gall,116
1065328493188341761,themediatopia,4
15662428,anthonyzach,47512
1013295691089793025,RCrombrugge,65
1087315196195074048,AhmadUmarDambam,8
2772258793,jamesdcamp,4847
1077230735466090497,ALMONDGARRETT4,17
109629096,PaulaAranaB,21746
123736228,ttya70,36006
1087212394730999809,AishaGa72935605,17
99539292,N_Damschke,214
927599375026671619,MRohava,807
1039812691983060992,BAglobalstudies,123
256973517,turkenburgemma,25
1021811145114411008,sierrad51634814,315
1073727497437659136,anna_a_kern,8
439117769,JHuttunen1,2583
281179447,Robinlebrun,5090
34249543,jsradford,3995
1063038250091274240,Eve41223922,0
132839879,ECPR,18737
973764836,JulijaSardelic,3475
18951709,mariakoomen,548
3074958632,lawattractionz,37504
145173573,BelgianRefugee,4617
442779119,gertjanput,373
51903595,earvsc,22784
203161480,egocantos,3399
1080878138513477632,NazitaLajevardi,425
819596768056774656,tara__incognita,1427
1075205528245149697,DoctorThomasHa1,10
286243878,vosquecrees,1703
787576910268235776,wtrvandooren,657
3244721459,Mauddevos,0
1252808496,amossmi,31895
1260569527,PepComellas,3472
4219327827,DanielleWenner,12920
846167555127468034,Paulien_de_roos,0
933981770,IanBabelon,475
3355530423,nuria_suero,464
10464182,Welpita,3347
2336035195,erinkaylockwood,1856
303225453,SebLinares,2784
269842674,Theu_Mat,26208
611672177,barnabyWjackson,2851
357816995,SenemSafci,387
2435495352,EricaFrantz,157
792227825172480000,roya_talibova,41
15351609,apadro_solanet,527
298247784,jamiepow,7697
3064369959,AlexMGeisler,248
705676954054369280,j4virom,1246
1411183836,hannamraz,837
133257516,josemeyers,138
434937267,MarleneKunst,21
300575680,portenchee,364
1057181391333527552,ECPR_Gender,47
3130740909,Micha_Germann,74
1184103289,financialeyes,27135
3329411729,Vervoort_Joost,4243
2689880053,mkjustesen,592
757492073444548608,KarinaKosPed,833
834055230132195328,FloSchaffner,153
140296772,haryosiman,465
95087491,billuraksoy,241
40081511,TalbotMAndrews,216
1056917452939034624,rachlin_dan,0
1041761278166007810,Tom81412199,33
1053189218359537664,RanGoren,101
3356461283,KULeuvenKulak,1749
378026002,HansVandeWater,1297
1022531878178496513,matsahrenshop,39
1052538163220996096,TorAgency,31
1435717022,DrSaoirse,6747
1693257644,DiscoverSoc,17042
2724095048,woutervbr,96
1052254916293644288,HilaryJordans,5
786669341735587840,demsocBXL,1592
3293786943,RebeccaAnneLaw,1958
197753254,ralucapahontu,573
